sample,fastq_1,fastq_2,strandedness,seq_platform
DU1704S0019789,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019789.fastq.gz,,auto,Illumina
DU1704S0019790,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019790.fastq.gz,,auto,Illumina
DU1704S0019791,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019791.fastq.gz,,auto,Illumina
DU1704S0019792,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019792.fastq.gz,,auto,Illumina
DU1704S0019793,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019793.fastq.gz,,auto,Illumina
DU1704S0019794,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019794.fastq.gz,,auto,Illumina
DU1704S0019795,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019795.fastq.gz,,auto,Illumina
DU1704S0019796,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019796.fastq.gz,,auto,Illumina
DU1704S0019797,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019797.fastq.gz,,auto,Illumina
DU1704S0019798,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019798.fastq.gz,,auto,Illumina
DU1704S0019799,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019799.fastq.gz,,auto,Illumina
DU1704S0019800,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019800.fastq.gz,,auto,Illumina
DU1704S0019801,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019801.fastq.gz,,auto,Illumina
DU1704S0019802,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019802.fastq.gz,,auto,Illumina
DU1704S0019803,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019803.fastq.gz,,auto,Illumina
DU1704S0019804,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019804.fastq.gz,,auto,Illumina
DU1704S0019805,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019805.fastq.gz,,auto,Illumina
DU1704S0019806,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019806.fastq.gz,,auto,Illumina
DU1704S0019807,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019807.fastq.gz,,auto,Illumina
DU1704S0019808,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019808.fastq.gz,,auto,Illumina
DU1704S0019809,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019809.fastq.gz,,auto,Illumina
DU1704S0019810,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019810.fastq.gz,,auto,Illumina
DU1704S0019811,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019811.fastq.gz,,auto,Illumina
DU1704S0019812,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019812.fastq.gz,,auto,Illumina
DU1704S0019813,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019813.fastq.gz,,auto,Illumina
DU1704S0019814,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019814.fastq.gz,,auto,Illumina
DU1704S0019815,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019815.fastq.gz,,auto,Illumina
DU1704S0019816,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019816.fastq.gz,,auto,Illumina
DU1704S0019817,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019817.fastq.gz,,auto,Illumina
DU1704S0019818,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019818.fastq.gz,,auto,Illumina
DU1704S0019819,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019819.fastq.gz,,auto,Illumina
